cycle_id,condition,team_member,start_time,end_time,duration_hours,excluded,exclusion_reason,notes
indoor_cycle01,indoor,Sakhiur,2026-08-27 09:00:00,2026-08-28 12:00:00,28,False,,Readings taken by Sakhiur.
indoor_cycle02,indoor,Sakhiur,2026-08-29 15:00:00,2026-08-20 18:00:00,28,False,,Readings taken by Sakhiur.
outdoor_cycle01,outdoor,Sadia,2026-08-31 21:00:00,2026-09-01 15:00:00,19,False,,Readings taken by Sadia.
outdoor_cycle02,outdoor,Sadia,2026-09-02 18:00:00,2026-09-03 12:00:00,19,False,,Readings taken by Sadia.
